English Name,Amount,English Unit,,Calories,Fats,Carbs,Protein,Arabic Name,Arabic Unit,Vit A (µg),Vit C (mg),Vit D (µg),Vit K (µg),Folate (µg),Vit B12 (µg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Selenium (µg),,FoodGroup,SubGroup
Egg Whites,100,Gram,,52,0.2,0.7,10.9,بياض بيض,جرام,0,0,0,0,1,0.03,7,0.08,11,163,0.07,17.5,,Protein,Lean Protein
Whole Eggs,100,Gram,,155,11,1.1,13,بيض كامل ,جرام,149,0,2.1,0.3,44,0.9,50,1.2,10,126,1.1,30.7,,Protein,Fatty Protein
Potatoes (cooked),100,gm,,94,0.1,21.1,2.1,بطاطس (بعد الطهي),جرام ,1,13.1,-,2.1,18,-,8,0.52,27,544,0.37,0.4,,Carbs,High-Carb
Cucumber,100,gm,,15,0.1,3.63,0.65,خيار ,جرام ,5,2.8,-,16.4,7,-,16,0.28,13,147,0.2,0.3,,Veg,Low-Carb
Chicken Breast (cooked),100,gm,,165,3.6,0,31,صدور دجاج (بعد الطهي),جرام ,6,-,-,-,4,-,15,1,29,256,1,22,,Protein,Lean Protein
Minced Meat,100,gm,,153,4.5,0,26.4,لحمة  مفرومة (متشفية من غير دهون),جرام ,3,-,0.1,1.5,7,2.4,20,2.7,22,349,6.2,22.1,,Protein,Fatty Protein
Cooked Rice (cooked),100,gm,,130,0.3,28,2.7,أرز (بعد الطبخ),جرام ,-,-,-,-,58,-,10,0.2,12,35,0.4,9.7,,Carbs,High-Carb
Any Veggies,100,gm,,15,0.1,3.6,0.6,خضار أخضر,جرام ,5,2.8,-,16.4,7,-,16,0.28,13,147,0.2,0.3,,Veg,Low-Carb
Banana,100,gm,,89,0.3,23,1.1,موز,جرام ,3,8.7,-,0.5,20,-,5,0.26,27,358,0.15,1,,Fruit,High-Carb
Watermelon,100,gm,,30,0.2,7.6,0.6,بطيخ,جرام ,28,8.1,-,0.1,3,-,7,0.24,10,112,0.1,0.4,,Fruit,Low-Carb
Peanuts,100,gm,,585,49.7,21.5,23.7,سوداني,جرام ,-,-,-,-,145,-,62,2.3,184,634,3.3,7.2,,Fats & Oils,Healthy Fat
Raw Salmon Fillet,100,Gram,,208,13,0,20,سلمون ني فيليه,جرام,12,3.9,11,0.5,25,3.2,9,0.3,27,363,0.4,36.5,,Protein,Fatty Protein
