English Name,Amount,English Unit,Arabic Name,Arabic Unit
Basil,,As desired,الريحان,حسب الرغبة
Smoked paprika,,As desired,بابريكا مدخنة,حسب الرغبة
"Paprika, black pepper, salt, and thyme",,As desired,بابريكا، فلفل أسود، ملح، وزعتر,حسب الرغبة
"Paprika, cumin",,As desired,بابريكا، كمون,حسب الرغبة
Onion powder,,As desired,بصل بودرة,حسب الرغبة
Spices,,As desired,بهارات,حسب الرغبة
"Spices (paprika / turmeric / garlic powder, as desired)",,As desired,بهارات (بابريكا / كركم / ثوم بودرة حسب الرغبة),حسب الرغبة
"Mixed spices (salt, pepper, lemon, cumin… as desired)",,As desired,بهارات حسب الرغبة (ملح، فلفل، ليمون، كمون …),حسب الرغبة
Chicken seasoning,,As desired,بهارات دجاج,حسب الرغبة
Chinese spices,,As desired,بهارات صينية,حسب الرغبة
Meat seasoning,,As desired,بهارات لحمة,حسب الرغبة
"Mixed spices (salt, pepper, cumin… as desired)",,As desired,بهارات مشكلة (ملح، فلفل، كمون … حسب الرغبة),حسب الرغبة
Mixed spices / Chinese kebab spice,,As desired,بهارات مشكلة / كبابة صيني,حسب الرغبة
Mexican seasoning,,As desired,بهارات مكسيكية,حسب الرغبة
Mandi spices,,As desired, بهارات مندي,حسب الرغبة
"Spices: salt, black pepper, chicken spices, paprika",,As desired,بهارات: ملح، فلفل أسود، بهارات فراخ، بابريكا,حسب الرغبة
Garlic powder,,As desired,بودرة ثوم,حسب الرغبة
Minced garlic,,As desired,ثوم مفروم,حسب الرغبة
Cardamom,,As desired,حبهان,حسب الرغبة
Nutmeg,,As desired,جوزة الطيب,حسب الرغبة
Nigella seeds,,As desired,حبة البركة,حسب الرغبة
Pomegranate molasses,,As desired,دبس الرمان,حسب الرغبة
Pinch of mandi spices / mixed spices,,As desired,رشة بهارات مندي / بهارات مشكلة,حسب الرغبة
"Pinch of nutmeg, salt, and pepper",,As desired,رشة جوزة الطيب وملح وفلفل,حسب الرغبة
"Pinch of thyme, salt, and pepper",,As desired,رشة زعتر وملح وفلفل,حسب الرغبة
"Pinch of cumin, salt, and pepper",,As desired,رشة كمون وملح وفلفل,حسب الرغبة
Pinch of salt + pepper + meat spices,,As desired,رشة ملح + فلفل + بهارات لحم,حسب الرغبة
Pinch of salt + black pepper + cumin,,As desired,رشة ملح + فلفل أسود + كمون,حسب الرغبة
"Pinch of salt, pepper, meat spices, nutmeg",,As desired,رشة ملح، فلفل، بهارات لحمة، جوزة الطيب,حسب الرغبة
Pinch of salt + pepper + cinnamon + spices as desired,,As desired,رشه ملح + فلفل + قرفه + بهارات حسب الرغبه,حسب الرغبة
Rosemary,,As desired,روزماري,حسب الرغبة
Thyme,,As desired,زعتر,حسب الرغبة
Minced garlic,,As desired,ثوم مفروم,حسب الرغبة
Cardamom,,As desired,حبهان,حسب الرغبة
Nutmeg,,As desired,جوزة الطيب,حسب الرغبة
Nigella seeds,,As desired,حبة البركة,حسب الرغبة
Pinch of mandi spices / mixed spices,,As desired,رشة بهارات مندي / بهارات مشكلة,حسب الرغبة
"Pinch of nutmeg, salt, and pepper",,As desired,رشة جوزة الطيب وملح وفلفل,حسب الرغبة
